Niveau1;Niveau2;Niveau3;URL;Base;Avancé
MenuLM_Team Finals;MenuLM_Printout;;Final/PrintOut.php;X;
MenuLM_Team Finals;MenuLM_Input Score;;Modules/Barcodes/GetFinScoreBarCode.php;X;
MenuLM_Team Finals;MenuLM_Input Score;MenuLM_GetScoreBarcode;Modules/Barcodes/GetFinScoreBarCode.php;X;
MenuLM_Team Finals;MenuLM_Input Score;MenuLM_GetScoreBarcodeReport;Modules/Barcodes/GetScoreBarCodeReport.php;X;
MenuLM_Team Finals;MenuLM_Speaker;;Modules/Speaker/index.php;X;
MenuLM_Printout;;;;;
MenuLM_Printout;MenuLM_Participant Lists;;Partecipants/PrintOut.php;;
MenuLM_Printout;MenuLM_Statistics;;Partecipants/PrintOutStat.php;;
MenuLM_Printout;SubClassRank;;Qualification/PrnIndividual.php?SubClassRank=on&SubClassClassRank=on;X;X
MenuLM_Printout;MenuLM_Category Result List;;Qualification/PrintOut.php;;
MenuLM_Printout;MenuLM_Qualification Round;;Qualification/PrintOutAbs.php;;
MenuLM_Printout;MenuLM_Final Rounds;;Final/PrintOut.php;X;
MenuLM_Printout;MenuLM_Header for Result Printouts;;Tournament/PrintoutComments.php;X;X
MenuLM_Printout;MenuLM_ManAwards;;Tournament/ManAwards.php;X;
MenuLM_Printout;MenuLM_CheckAwards;;Tournament/PDFAward-check.php;X;X
MenuLM_Printout;MenuLM_PrintAwardsPositions;;Tournament/PDFAward-Positions.php;X;X
MenuLM_Printout;MenuLM_PrintAwards;;Tournament/PDFAward.php;X;
MenuLM_Printout;MenuLM_Print Sign;;Common/Sign;;
MenuLM_HTT;;;;;
MenuLM_HTT;MenuLM_HTT Communication Setup;;HHT/Configuration.php;X;X
MenuLM_HTT;MenuLM_HTT Setup;;HHT/InitHTT.php;X;X
MenuLM_HTT;MenuLM_Athletes Setup;;HHT/InitAthletes.php;X;X
MenuLM_HTT;MenuLM_Scores Setup;;HHT/InitScores.php;X;X
MenuLM_HTT;MenuLM_Setup HTT Sequence;;HHT/Sequence.php;X;X
MenuLM_HTT;MenuLM_Collect Data;;HHT/Collect.php;X;X
MenuLM_HTT;MenuLM_Get Info;;HHT/GetInfo.php;X;X
ISKMenuHeader;;;;;
ISKMenuHeader;ISK-Configuration;;Api/ISK-NG/Devices.php;X;
ISKMenuHeader;ISK-Results;;Api/ISK-NG/Results.php;X;
ISKMenuHeader;FieldMonitor;;Api/ISK-NG/FieldMonitor.php;X;
ISKMenuHeader;MenuLM_Get Info;;Api/ISK-NG/DevicesInfo.php;X;
ISKMenuHeader;ISK-AppQrCode;;Api/ISK-NG/QRcodes.php;X;
ISKMenuHeader;ISK-GetQRData;;Api/ISK-NG/ManualDataDownload.php;X;
ISKMenuHeader;TargetRequests-Printout;;Api/ISK-NG/TargetRequests.php;X;
ISKMenuHeader;TargetScoring-Printout;;Api/ISK-NG/TargetDistanceRequests.php;X;
ISKMenuHeader;ManageLockedSessions;;Api/ISK-NG/Sessions.php;X;
ISKMenuHeader;RankCalcSettings;;Api/ISK-NG/RankCalcSettings.php;X;X
ISKMenuHeader;API-DeviceGrouping;;Api/ISK-NG/DeviceGrouping.php;X;
MenuLM_Output;;;;;
MenuLM_Output;MenuLM_TV Output;;TV/;X;
MenuLM_Output;MenuLM_TV Channels;;TV/ChannelSetup.php;X;
MenuLM_Output;MenuLM_Spotting;;Final/Viewer/;X;X
MenuLM_Output;ShowTvLiveScore;;Final/ShowTVScore.php?TourId=;X;X
MenuLM_Output;ManageTvFlags;;Modules/Boinx/ManageTVFlags.php;X;X
MenuLM_Output;ShowTvFlags;;Modules/Boinx/ShowTVFlags.php?Tour=;X;X
